date,sst_actual,sst_anomaly
2000-01-01,28.5445,-0.1937
2000-02-01,28.3332,-0.3533
2000-03-01,28.5280,-0.3996
2000-04-01,29.1469,-0.1989
2000-05-01,29.2042,-0.1189
2000-06-01,28.5267,-0.3276
2000-07-01,28.0575,-0.1929
2000-08-01,28.0552,0.0884
2000-09-01,28.3902,0.1838
2000-10-01,28.8306,0.1267
2000-11-01,29.2874,0.1479
2000-12-01,28.8544,-0.2412
2001-01-01,28.5386,-0.1996
2001-02-01,28.6185,-0.0680
2001-03-01,28.9453,0.0176
2001-04-01,29.3463,0.0004
2001-05-01,29.4237,0.1006
2001-06-01,28.9465,0.0923
2001-07-01,28.5008,0.2504
2001-08-01,28.0403,0.0735
2001-09-01,28.3686,0.1622
2001-10-01,28.7710,0.0671
2001-11-01,28.9064,-0.2331
2001-12-01,28.7084,-0.3872
2002-01-01,28.4912,-0.2469
2002-02-01,28.2905,-0.3960
2002-03-01,28.7873,-0.1403
2002-04-01,29.4517,0.1059
2002-05-01,29.4114,0.0883
2002-06-01,28.8966,0.0423
2002-07-01,28.3201,0.0697
2002-08-01,27.9379,-0.0288
2002-09-01,27.9488,-0.2576
2002-10-01,28.5769,-0.1270
2002-11-01,28.9643,-0.1753
2002-12-01,29.3496,0.2540
2003-01-01,28.8693,0.1311
2003-02-01,28.7104,0.0239
2003-03-01,28.8227,-0.1049
2003-04-01,29.4376,0.0918
2003-05-01,29.2913,-0.0318
2003-06-01,28.8794,0.0251
2003-07-01,28.0767,-0.1738
2003-08-01,27.9054,-0.0613
2003-09-01,28.2234,0.0170
2003-10-01,28.7538,0.0499
2003-11-01,29.1032,-0.0363
2003-12-01,28.6583,-0.4373
2004-01-01,28.5355,-0.2026
2004-02-01,28.4336,-0.2529
2004-03-01,28.8587,-0.0689
2004-04-01,29.5292,0.1833
2004-05-01,29.1852,-0.1379
2004-06-01,28.6978,-0.1564
2004-07-01,27.8885,-0.3619
2004-08-01,27.6164,-0.3503
2004-09-01,27.9079,-0.2985
2004-10-01,28.3216,-0.3823
2004-11-01,29.0841,-0.0554
2004-12-01,29.0103,-0.0853
2005-01-01,28.8600,0.1218
2005-02-01,28.9503,0.2638
2005-03-01,29.2747,0.3471
2005-04-01,29.2476,-0.0983
2005-05-01,29.2287,-0.0944
2005-06-01,28.9653,0.1110
2005-07-01,28.5694,0.3190
2005-08-01,28.3686,0.4018
2005-09-01,28.5762,0.3698
2005-10-01,29.0377,0.3338
2005-11-01,29.2113,0.0718
2005-12-01,29.1397,0.0441
2006-01-01,28.6406,-0.0976
2006-02-01,28.7187,0.0322
2006-03-01,28.9511,0.0235
2006-04-01,29.1791,-0.1667
2006-05-01,29.3842,0.0611
2006-06-01,28.8925,0.0382
2006-07-01,28.1920,-0.0584
2006-08-01,27.7570,-0.2098
2006-09-01,27.6894,-0.5170
2006-10-01,27.9246,-0.7793
2006-11-01,28.8124,-0.3271
2006-12-01,29.2038,0.1082
2007-01-01,28.9675,0.2293
2007-02-01,28.8980,0.2115
2007-03-01,28.8329,-0.0947
2007-04-01,29.1673,-0.1786
2007-05-01,29.1734,-0.1497
2007-06-01,28.9251,0.0708
2007-07-01,28.0824,-0.1680
2007-08-01,27.7122,-0.2546
2007-09-01,28.0129,-0.1935
2007-10-01,28.7801,0.0761
2007-11-01,29.1077,-0.0318
2007-12-01,29.2032,0.1075
2008-01-01,28.8080,0.0699
2008-02-01,28.7424,0.0559
2008-03-01,28.8477,-0.0799
2008-04-01,29.1841,-0.1618
2008-05-01,28.9103,-0.4128
2008-06-01,28.4152,-0.4390
2008-07-01,27.9757,-0.2747
2008-08-01,27.8514,-0.1153
2008-09-01,28.2938,0.0874
2008-10-01,28.7992,0.0952
2008-11-01,29.1884,0.0489
2008-12-01,29.1327,0.0371
2009-01-01,28.8961,0.1579
2009-02-01,28.6678,-0.0187
2009-03-01,29.0979,0.1703
2009-04-01,29.3959,0.0500
2009-05-01,29.4574,0.1343
2009-06-01,29.2526,0.3983
2009-07-01,28.6682,0.4178
2009-08-01,28.3465,0.3798
2009-09-01,28.4634,0.2570
2009-10-01,28.8313,0.1274
2009-11-01,29.1809,0.0414
2009-12-01,29.0378,-0.0578
2010-01-01,28.7810,0.0428
2010-02-01,28.9461,0.2596
2010-03-01,29.3037,0.3761
2010-04-01,29.7973,0.4515
2010-05-01,29.8253,0.5022
2010-06-01,29.4301,0.5759
2010-07-01,28.8339,0.5835
2010-08-01,28.5287,0.5619
2010-09-01,28.8931,0.6868
2010-10-01,29.3441,0.6402
2010-11-01,29.5856,0.4461
2010-12-01,29.3276,0.2320
2011-01-01,28.7507,0.0126
2011-02-01,28.7120,0.0255
2011-03-01,28.8321,-0.0955
2011-04-01,29.0371,-0.3088
2011-05-01,29.1528,-0.1703
2011-06-01,28.6789,-0.1754
2011-07-01,28.1733,-0.0771
2011-08-01,27.8186,-0.1482
2011-09-01,27.9781,-0.2283
2011-10-01,28.6111,-0.0928
2011-11-01,29.1870,0.0475
2011-12-01,29.2874,0.1918
2012-01-01,28.9131,0.1749
2012-02-01,28.9032,0.2166
2012-03-01,28.9770,0.0494
2012-04-01,29.5759,0.2300
2012-05-01,29.5524,0.2293
2012-06-01,28.5989,-0.2554
2012-07-01,27.9168,-0.3336
2012-08-01,27.6296,-0.3371
2012-09-01,27.9373,-0.2691
2012-10-01,28.5690,-0.1350
2012-11-01,29.1949,0.0554
2012-12-01,29.3299,0.2343
